Instance,(MCS) Time in cutting,(MCS) Cuts added,(MCS) Gap closed,(EW) Time in cutting,(EW) Cuts added,(EW) Gap closed,(RCW) Time in cutting,(RCW) Cuts added,(RCW) Gap closed,(LI) Time in cutting,(LI) Cuts added,(LI) Gap closed,(MS) Time in cutting,(MS) Cuts added,(MS) Gap closed,(ObO) Time in cutting,(ObO) Cuts added,(ObO) Gap closed,(S2V) Time in cutting,(S2V) Relative size,(S2V) Gap closed,(S1V) Time in cutting,(S1V) Relative size,(S1V) Gap closed,SCIP Default,SCIP No heuristics
st_fp7e,0.1936,6,0.29,0.1911,6,0.17,0.1953,6,0.47,0.0099,6,5.83,0.0157,6,5.83,0.0239,6,5.83,0.061,5.41,0.78,0.068,3.93,5.94,55.14,55.14
st_fp8,0.0082,5,1.72,0.0067,2,2.32,0.0122,3,3.09,0.0057,5,28.08,0.0095,5,28.08,0.0528,5,28.08,0.0258,2.96,9.02,0.045,1.96,28.08,-2.33,0.15
st_glmp_fp1,0.0031,1,91.13,0.0026,1,40.84,0.0019,1,28.5,0.0029,1,91.13,0.0049,1,91.13,0.0036,2,91.13,0.0533,1.33,91.11,0.0024,1.5,91.11,4.45,12.4
st_glmp_fp2,0.003,1,94.77,0.0026,1,36.67,0.0011,1,25.01,0.0032,1,94.77,0.0047,1,94.77,0.003,2,94.77,0.0018,1.33,94.75,0.0022,1.5,94.75,-31.32,6.61
st_glmp_fp3,0.0031,1,50.75,0.0027,1,18.57,0.0023,1,13.07,0.0027,1,50.75,0.0044,1,50.75,0.003,2,64,0.0019,1.5,50.82,0.0891,1.67,64.01,20.99,28.21
st_glmp_kk90,0.003,1,69,0.0026,1,69,0.0006,1,69,0.0026,1,45,0.0046,1,45,0.0028,2,100,0.0018,1.5,69.23,0.0018,1.67,100,-100,0
st_glmp_kk92,0.0033,1,44.2,0.0027,1,12.65,0.0038,1,10.05,0.0028,1,44.2,0.005,1,44.2,0.003,2,50.55,0.002,1.5,44.21,0.0038,1.67,50.53,23.88,30.91
st_glmp_kky,0.0041,2,17.67,0.018,2,13.26,0.0033,2,14.07,0.0035,2,19.15,0.0061,2,19.15,0.0041,4,21.83,0.098,1.6,29.65,0.0999,2.2,21.82,47.71,74.66
st_glmp_ss1,0.0029,1,22.3,0.0028,1,31.67,0.0036,1,43.1,0.0064,1,37.15,0.0051,1,37.15,0.0031,2,37.15,0.0667,1.5,50.72,0.0892,2,37.15,32.61,48.22
st_glmp_ss2,0.0028,1,5.76,0.0026,1,5.76,0.0018,1,5.76,0.0029,1,12.15,0.0058,1,12.15,0.0026,1,12.15,0.0017,1.5,32.01,0.0022,1.67,21.79,77.2,102.91
st_ht,0.0028,1,10.83,0.0027,1,10.83,0.0028,1,10.83,0.0024,1,16.67,0.0054,1,16.67,0.0024,1,16.67,0.0725,1.4,11.11,0.045,1.4,16.67,-7.14,35.71
st_iqpbk1,0.1646,31,8.77,0.05,33,5.56,0.0693,32,5.74,0.0931,33,11.24,0.0401,33,11.24,0.0353,61,11.24,0.061,3.96,85.54,0.0321,3.8,93.49,43.38,39.19
st_iqpbk2,0.178,32,3.37,0.1733,32,3.37,0.2162,32,3.25,0.0259,33,6.83,0.1078,33,6.83,0.054,61,6.83,0.1115,3.89,83.9,0.0312,3.76,92.72,48.18,42.85
st_jcbpaf2,0.0102,3,2.08,0.0431,3,2.02,0.0284,3,2.36,0.0051,3,38.48,0.0086,3,38.48,0.0068,6,44.33,0.133,2.56,10.3,0.08,4,44.32,3.16,8.02
st_m1,0.3594,10,11.63,0.4352,10,13,0.5404,10,8.07,0.0956,10,94.11,0.0257,10,94.11,0.0155,10,94.11,0.0292,2.54,9.24,0.0214,3.88,94.11,-4.33,-0.24
st_m2,0.8926,15,16.76,0.8384,15,13.09,0.8254,15,8.67,0.2879,16,100,0.2031,16,100,0.1423,16,100,0.0872,2.82,9.83,0.0451,4.89,100,-5.45,-0.89
st_pan1,0.0043,3,21.95,0.0041,3,21.95,0.0024,3,21.95,0.0038,3,34.15,0.0067,3,34.15,0.0036,3,34.15,0.0028,1.86,21.25,0.0874,2.29,33.87,-2.64,-1.58
st_ph1,0.0046,2,30.39,0.0045,2,16.14,0.0064,2,28.41,0.0035,2,100,0.0057,2,100,0.0032,2,100,0.1029,2.92,73.36,0.0038,2,100,-5.62,0
st_ph11,0.0029,1,10.64,0.0027,1,8.51,0.002,1,8.51,0.0031,1,17.02,0.0056,1,17.02,0.0025,1,17.02,0.0096,3.14,10.26,0.0025,1.71,17.77,-0.68,3.32
st_ph12,0.0029,1,4.6,0.0027,1,3.45,0.002,1,4.6,0.0027,1,19.54,0.0051,1,19.54,0.0024,1,19.54,0.0769,3.14,5.04,0.0031,1.71,19.05,-0.72,2.98
st_ph13,0.003,1,10.64,0.0027,1,8.51,0.0062,1,8.51,0.0026,1,17.02,0.0052,1,17.02,0.0027,1,17.02,0.1069,3.14,10.26,0.0032,1.71,17.77,-0.68,3.32
st_ph14,0.0027,1,29.69,0.0028,1,22.66,0.0032,1,29.69,0.0028,1,52.34,0.0048,1,52.34,0.0026,1,52.34,0.0516,1.57,30.13,0.0015,1.43,52.2,-0.29,0.26
st_ph15,0.0046,3,9.07,0.0042,3,16.51,0.0049,3,17.22,0.0038,3,54.25,0.0087,3,54.25,0.0037,3,54.25,0.1101,2,29.18,0.0899,2.22,61.91,7.14,14.46
st_ph2,0.0051,2,28.83,0.0046,2,17.12,0.0031,2,40.13,0.0033,2,100,0.0067,2,100,0.0032,2,100,0.1278,2.31,96.78,0.0366,1.85,99.99,-3.42,0
st_ph20,0.0032,1,18,0.0029,1,13.48,0.0017,1,14.7,0.0029,1,82.61,0.0058,1,82.61,0.0027,1,82.61,0.0865,1.83,19,0.0774,1.5,82.61,4.4,6.4
st_ph3,0.0032,1,33.53,0,0,0,0,0,0,0.0029,1,100,0.0056,1,100,0.0028,1,100,0.1063,1.89,52.78,0.0021,1.44,100,-6.17,0
st_phex,0.0035,2,43.04,0.0032,2,43.04,0.0029,2,43.04,0.0032,2,79.37,0.0062,2,79.37,0.003,2,79.37,0.0023,1.6,43.04,0.0017,1.8,79.37,-9.12,6.35
st_qpc-m0,0.0035,2,77.72,0.0033,2,69.41,0.0034,2,68.52,0.003,2,98.89,0.006,2,98.89,0.0029,2,98.89,0.0227,1,70.69,0.0019,1,99.99,0,1.05
st_qpc-m1,0.0143,10,21.85,0.0141,10,25.23,0.0128,10,28.48,0.0084,10,54.72,0.0124,10,54.72,0.0106,16,54.72,0.0689,2.67,88.77,0.025,2.33,88.77,14.09,16.53
st_qpc-m3a,0.3062,21,5.8,0.3425,21,11.11,0.3159,21,15.18,0.0237,21,41.09,0.0444,21,41.09,0.0957,36,42.31,0.0447,2.73,91.51,0.0181,2.09,98.18,-0.15,0.97
st_qpc-m3b,0.3515,28,6.93,0.3293,28,5.19,0.3043,28,9.89,0.1508,28,30.39,0.2066,28,30.39,0.1353,49,30.39,0.0623,2.97,43.55,0.0212,2.38,100,14.18,28.4
st_qpk1,0.0038,3,62.76,0.0037,3,51.81,0.0032,3,50.65,0.0035,3,98.48,0.0071,3,98.48,0.0036,4,98.48,0.0011,1,49.94,0.0021,1,99.85,1.16,1.16
st_qpk2,0.0155,11,19.09,0.0152,11,19.09,0.0192,11,19.09,0.0087,11,42.4,0.0143,11,42.4,0.0103,16,42.4,0.0375,2.17,22.5,0.0419,3,42.81,-17.67,-17.67
st_qpk3,0.3821,21,12.7,0.3891,21,12.7,0.3672,21,12.7,0.0366,21,27.2,0.0374,21,27.2,0.0525,31,27.2,0.0339,3,14.32,0.0448,4.67,27.25,-12.36,-12.36
st_rv1,0.0138,4,2.09,0.0197,4,1.4,0.0117,4,1.4,0.0057,4,48.14,0.0111,4,48.14,0.0053,4,48.14,0.0637,3.33,2.7,0.0445,2.9,48.22,-3.22,-1.6
st_rv2,0.0777,5,6.22,0.0537,5,6.34,0.0876,5,5.4,0.0272,5,74.53,0.0165,5,74.53,0.0082,5,74.53,0.0592,5.76,18.4,0.0609,3.44,74.76,-8.7,-6.15
